name,type,address,latitude,longitude,opening_hours,freguesia
,yes,nan nan,41.1492091,-8.6214401,,Porto
,yes,nan nan,41.149191,-8.6213301,,Porto
,yes,nan nan,41.1491122,-8.6214776,,Porto
,yes,nan nan,41.1491496,-8.6215648,,Porto
,yes,nan nan,41.1491486,-8.6214334,,Porto
,yes,nan nan,41.1491465,-8.6213596,,Porto
,yes,nan nan,41.1491769,-8.6212537,,Porto
,yes,nan nan,41.1490839,-8.6212389,,Porto
,yes,nan nan,41.1491537,-8.6214776,,Porto
,yes,nan nan,41.1491486,-8.6213033,,Porto
,yes,nan nan,41.1491839,-8.6211853,,Porto
,yes,nan nan,41.1492455,-8.6212657,,Porto
,yes,nan nan,41.1491788,-8.6213985,,Porto
,yes,nan nan,41.1492273,-8.6213073,,Porto
,yes,nan nan,41.1492395,-8.6211826,,Porto
,yes,nan nan,41.149191,-8.6215527,,Porto
,yes,nan nan,41.1492163,-8.6212416,,Porto
,yes,nan nan,41.1492273,-8.6213744,,Porto
,yes,nan nan,41.1491031,-8.6215729,,Porto
,yes,nan nan,41.1491627,-8.6216037,,Porto
,yes,nan nan,41.1490627,-8.6215514,,Porto
Fitness Hut,yes,nan Rua Herois e Martires de Angola,41.1513969,-8.6109289,,Porto
IEFP - Delegação Norte,public,488 Rua do Engenheiro Ezequiel de Campos,41.1741518,-8.6536236,,Ramalde
,no,nan nan,41.1662554,-8.5681008,,Porto
,yes,nan nan,41.1447795,-8.6090199,,Porto
Feira de Produtos Biológicos,no,nan nan,41.1704188,-8.672223,Sa 08:00-13:30,Porto
Garagem Gomes da Costa,garage,nan nan,41.1613427,-8.6591081,,Porto
DA The Studio,school,nan Rua de Tânger,41.1614728,-8.6593266,,Porto
Café Amarantino,yes,nan nan,41.1472138,-8.5872845,,Porto
Pomar da Faria Guimarães,bunker,nan nan,41.16003,-8.6077524,,Porto
,service,nan nan,41.1769169,-8.6437498,,Ramalde
Centro de Estudos de Arquitetura e Urbanismo,university,nan Via Panorâmica,41.1499956,-8.6349481,,Porto
,commercial,nan nan,41.1710566,-8.6584306,,Porto
Capela da Senhora da Lapa,chapel,nan nan,41.1458582,-8.613868,,Porto
,entrance,nan nan,41.1503371,-8.6093904,,Porto
Livraria Académica,yes,nan nan,41.1501319,-8.6146561,,Porto
,no,nan nan,41.1768675,-8.6547863,,Ramalde
,yes,nan nan,41.1551341,-8.6675544,,Porto
,yes,nan nan,41.1488791,-8.6559468,,Porto
,yes,nan nan,41.1472505,-8.6576553,,Porto
,no,nan nan,41.1490408,-8.614358,,Porto
,no,nan nan,41.1483536,-8.612087,,Porto
