name,type,address,latitude,longitude,freguesia,opening_hours
,taxi,,41.1573067,-8.6281617,,
,taxi,,41.1806321,-8.5827134,,
Cepsa,fuel,Rua de Faria Guimarães,41.1690632,-8.6065633,,
CTT,post_office,Rua da Constituição,41.1616838,-8.6036937,,Mo-Fr 09:00-18:00
Estação dos Correios de Eça de Queirós,post_office,,41.1617461,-8.5984026,,
Barclays,bank,,41.1624527,-8.598209,,
Scala,restaurant,,41.1607731,-8.5922552,,
,telephone,,41.1654718,-8.6054083,,
Vitória,restaurant,,41.160823,-8.5917705,,
Barrigas,restaurant,,41.1590503,-8.5975147,,
Al Forno,restaurant,,41.166263,-8.5932339,,
Cidade,restaurant,Rua de Costa Cabral,41.1656169,-8.5982894,,
Santander Totta,bank,,41.1728573,-8.6127532,,
,post_box,,41.1728121,-8.6126932,,
Farmácia Nau Vitória,pharmacy,,41.1742172,-8.5821356,,
Confeitaria Doce Alto,cafe,Rua de Costa Cabral,41.1749994,-8.5860532,,"Mo-Fr 07:00-21:00; Sa,Su 08:00-20:00"
Praça de Táxis do Conde de Ferreira,taxi,,41.1696,-8.5892554,,
Farmácia Barreiros,pharmacy,Rua Serpa Pinto,41.1606206,-8.6210246,,24/7
Hotel Grande Rio,,,41.1583337,-8.6067738,,
,parking_entrance,,41.1486729,-8.6289064,,
Farmácia Pinhais da Foz,pharmacy,,41.1555613,-8.6681147,,
,telephone,,41.1573155,-8.6666748,,
Cepa,restaurant,,41.1514604,-8.6765313,,
Residencial Portucalense,,,41.168407,-8.591617,,
CTT,post_office,,41.171145,-8.5882439,,
Farmácia Costa Cabral,pharmacy,,41.1720903,-8.5876506,,
Farmácia da Cruz,pharmacy,Rua de Costa Cabral,41.1687099,-8.5907066,,
Café Barcarola,restaurant,,41.1668988,-8.5942605,,
Farmácia do Amial,pharmacy,Rua do Amial,41.1838825,-8.6135012,,Tu-Su 09:00-19:00; Sa 09:00-12:00
Porto Santo,cafe,,41.153331,-8.6023719,,
,recycling,,41.1512266,-8.6022968,,
Farmácia Antero de Quental,pharmacy,Rua Antero de Quental,41.1627813,-8.6110322,,
Farmácia Henriques,pharmacy,Praça da Batalha,41.1447786,-8.6065682,,"Mo-Fr 08:30-19:30; Sa 09:00-13:00,14:00-18:30"
Farmácia Saúde,pharmacy,Avenida dos Combatentes da Grande Guerra,41.165371,-8.5988215,,
Farmácia Alírio de Barros,pharmacy,Rua de Costa Cabral,41.1639303,-8.6013361,,
Farmácia Silva Pereira,pharmacy,Rua de Costa Cabral,41.1640646,-8.601383,,
Farmácia Cosme,pharmacy,Rua de Costa Cabral,41.1659656,-8.5975488,,
Farmácia Guerra,pharmacy,Rua de Costa Cabral,41.1622917,-8.6036776,,
Farmácia Martino,pharmacy,Praça Marquês de Pombal,41.1613002,-8.6038802,,Mo-Fr 09:00-20:00; Sa 09:00-18:00
,parking,,41.160783,-8.6054149,,
,post_office,,41.1590407,-8.5792089,,
Farmácia Central da Corujeira,pharmacy,,41.159248,-8.5803238,,
