name,type,address,latitude,longitude,freguesia,opening_hours
,taxi,nan nan,41.1573067,-8.6281617,Porto,
,taxi,nan nan,41.1806321,-8.5827134,Porto,
Cepsa,fuel,nan Rua de Faria Guimarães,41.1690632,-8.6065633,Porto,
CTT,post_office,437 Rua da Constituição,41.1616838,-8.6036937,Porto,Mo-Fr 09:00-18:00
Estação dos Correios de Eça de Queirós,post_office,nan nan,41.1617461,-8.5984026,Porto,
Pingo Doce,,nan Rua de Aval de Baixo,41.1679272,-8.5982629,Porto,Mo-Su 08:00-21:00
Barclays,bank,nan nan,41.1624527,-8.598209,Porto,
Scala,restaurant,nan nan,41.1607731,-8.5922552,Porto,
,telephone,nan nan,41.1654718,-8.6054083,Porto,
Vitória,restaurant,nan nan,41.160823,-8.5917705,Porto,
Barrigas,restaurant,nan nan,41.1590503,-8.5975147,Porto,
Al Forno,restaurant,nan nan,41.166263,-8.5932339,Porto,
Cidade,restaurant,524 Rua de Costa Cabral,41.1656169,-8.5982894,Porto,
Santander Totta,bank,nan nan,41.1728573,-8.6127532,Porto,
,post_box,nan nan,41.1728121,-8.6126932,Porto,
Farmácia Nau Vitória,pharmacy,nan nan,41.1742172,-8.5821356,Porto,
Confeitaria Doce Alto,cafe,2190 Rua de Costa Cabral,41.1749994,-8.5860532,Porto,"Mo-Fr 07:00-21:00; Sa,Su 08:00-20:00"
Praça de Táxis do Conde de Ferreira,taxi,nan nan,41.1696,-8.5892554,Porto,
Farmácia Barreiros,pharmacy,12 Rua Serpa Pinto,41.1606206,-8.6210246,Porto,24/7
Hotel Grande Rio,,nan nan,41.1583337,-8.6067738,Porto,
,parking_entrance,nan nan,41.1486729,-8.6289064,Porto,
Farmácia Pinhais da Foz,pharmacy,nan nan,41.1555613,-8.6681147,Porto,
,telephone,nan nan,41.1573155,-8.6666748,Porto,
Pingo Doce,,nan nan,41.1592577,-8.6661234,Porto,
Cepa,restaurant,nan nan,41.1514604,-8.6765313,Porto,
Residencial Portucalense,,nan nan,41.168407,-8.591617,Porto,
,,nan nan,41.1686212,-8.5912065,Porto,
CTT,post_office,nan nan,41.171145,-8.5882439,Porto,
Farmácia Costa Cabral,pharmacy,nan nan,41.1720903,-8.5876506,Porto,
Farmácia da Cruz,pharmacy,1082 Rua de Costa Cabral,41.1687099,-8.5907066,Porto,
Café Barcarola,restaurant,nan nan,41.1668988,-8.5942605,Porto,
Farmácia do Amial,pharmacy,1245 Rua do Amial,41.1838825,-8.6135012,Porto,Tu-Su 09:00-19:00; Sa 09:00-12:00
Pingo Doce,,2320 Rua Costa Cabral,41.1759522,-8.5855634,Porto,Mo-Su 08:00-21:00
Porto Santo,cafe,nan nan,41.153331,-8.6023719,Porto,
,recycling,nan nan,41.1512266,-8.6022968,Porto,
Minipreço,,nan nan,41.1471388,-8.6037371,Porto,
Farmácia Antero de Quental,pharmacy,520 Rua Antero de Quental,41.1627813,-8.6110322,Porto,
Farmácia Henriques,pharmacy,64 Praça da Batalha,41.1447786,-8.6065682,Porto,"Mo-Fr 08:30-19:30; Sa 09:00-13:00,14:00-18:30"
Farmácia Saúde,pharmacy,689 Avenida dos Combatentes da Grande Guerra,41.165371,-8.5988215,Porto,
Farmácia Alírio de Barros,pharmacy,240 Rua de Costa Cabral,41.1639303,-8.6013361,Porto,
Farmácia Silva Pereira,pharmacy,293 Rua de Costa Cabral,41.1640646,-8.601383,Porto,
Farmácia Cosme,pharmacy,584 Rua de Costa Cabral,41.1659656,-8.5975488,Porto,
Farmácia Guerra,pharmacy,43 Rua de Costa Cabral,41.1622917,-8.6036776,Porto,
Farmácia Martino,pharmacy,122 Praça Marquês de Pombal,41.1613002,-8.6038802,Porto,Mo-Fr 09:00-20:00; Sa 09:00-18:00
,parking,nan nan,41.160783,-8.6054149,Porto,
Sapaterio Varito,,nan nan,41.1594124,-8.5789379,Porto,
Minipreço,,nan nan,41.1586548,-8.5800835,Porto,
,post_office,nan nan,41.1590407,-8.5792089,Porto,
Farmácia Central da Corujeira,pharmacy,nan nan,41.159248,-8.5803238,Porto,
Farmácia Borralho,pharmacy,692 Avenida Fernão de Magalhães,41.1558535,-8.594775,Porto,Mo-Fr 09:00-19:00; Sa 09:00-13:00
Farmácia Lousada,pharmacy,52 Rua do Campo Lindo,41.169278,-8.6088261,Porto,Mo-Fr 09:00-20:00; Sa 09:00-17:00; Su off
Farmácia Soeiro,pharmacy,71 Rua de Santos Pousada,41.1494042,-8.6005555,Porto,
Farmácia São Dinis,pharmacy,428 Rua de São Dinis,41.1674205,-8.6180315,Porto,
Farmácia Ramos,pharmacy,96 Praça do Exército Libertador,41.1661999,-8.624914,Porto,Mo-Fr 09:00-19:30
