name,type,address,latitude,longitude,freguesia,opening_hours
Pingo Doce,supermarket,Rua de Aval de Baixo ,41.1679272,-8.5982629,,Mo-Su 08:00-21:00
Pingo Doce,supermarket, ,41.1592577,-8.6661234,,
,bicycle, ,41.1686212,-8.5912065,,
Pingo Doce,supermarket,Rua Costa Cabral 2320,41.1759522,-8.5855634,,Mo-Su 08:00-21:00
Minipreço,supermarket, ,41.1471388,-8.6037371,,
Sapaterio Varito,clothes, ,41.1594124,-8.5789379,,
Minipreço,convenience, ,41.1586548,-8.5800835,,
"Bump - Chaves, Comandos e Soluções de Segurança, Lda.",car_repair,Rua das Águas Férreas 11,41.1563616,-8.6179592,,"Mo-Fr 09:30-19:00, Sa 9:30-12:30"
Pingo Doce,supermarket,Avenida da Boavista 1319,41.15945,-8.6393339,,Mo-Su 08:30-21:30
Azeitoneira do Porto,convenience,Cais da Ribeira 36,41.1405972,-8.6117974,,
Ervanária Bio Plantas,chemist,Rua Formosa 416,41.1491866,-8.6090308,,
Armazém Alma,stationery, ,41.1479858,-8.6146993,,
Pingo Doce,supermarket, ,41.1518331,-8.6772709,,Mo-Su 08:00-21:00
Pingo Doce,supermarket,Praça Dr. Francisco Sá Carneiro 205,41.1628533,-8.5929237,,
Primazia,confectionery, ,41.1629621,-8.5927466,,
Flor do Bonjardim,bakery,Rua do Bonjardim 747,41.1554032,-8.6077459,,07:00-20:00
The Art of Joint,cannabis,Rua do Bonjardim 711,41.1550397,-8.6077438,,Mo-Sa 10:00-20:00; Su 14:00-20:00
Minipreço,supermarket, ,41.1670106,-8.5939509,,
Arons,car, ,41.1659496,-8.5884486,,
Continente Bom Dia,supermarket, ,41.1551676,-8.6635027,,
,kiosk, ,41.1485579,-8.585991,,
Quiosque Átrio Estação Campanhã,newsagent, ,41.1486296,-8.5854312,,06:00-23:00
Tulha Automóveis,car, ,41.18237,-8.5967214,,
Lima 5 (My Super),supermarket, ,41.1619685,-8.6004923,,
,bicycle, ,41.1715273,-8.6878658,,
Gamobar Peugeot,car, ,41.1712361,-8.6481239,,
Altamira - Pastelaria e Padaria,bakery,Rua de António Bessa Leite 1238 a 1264,41.1574169,-8.6450704,,"Mo-Fr 07:30-20:30; Sa,Su 08:00-20:30"
Blue Dragon,rental,Avenida Gustavo Eiffel 280,41.141102,-8.6088157,,
