name,highway,maxspeed,latitude,longitude,length,bridge,service,tunnel
,motorway_link,70,41.16617375,-8.6407739,32.388,,,
,motorway_link,40,41.16701564373343,-8.64054653967131,223.005,,,
,motorway_link,40,41.168209913508385,-8.642668183495658,112.268,,,
,motorway_link,40,41.16840831937889,-8.643032665804812,191.89200000000002,,,
,motorway_link,70,41.167276536366934,-8.642070404432245,118.915,yes,,
Via Norte,trunk,90,41.17457845426421,-8.62242851797285,77.19,,,
Via Norte,trunk,90,41.176152217769555,-8.62240355321294,272.903,,,
Via de Cintura Interna,motorway,80,41.16414977386225,-8.58203553064813,560.14,yes,,
,motorway_link,"['50', '40']",41.16516821547742,-8.582742791013583,283.215,yes,,
Via de Cintura Interna,motorway,80,41.1639891597453,-8.581638810152597,321.704,yes,,
,motorway_link,,41.163373371473256,-8.580825367062955,174.73900000000003,viaduct,,
Via de Cintura Interna,motorway,80,41.15311695289371,-8.581632144750781,273.962,viaduct,,
Nó de Bonjóia,motorway_link,"['70', '50']",41.153559331345704,-8.58229497431764,143.716,yes,,
Via de Cintura Interna,motorway,80,41.152275541233976,-8.580418114922594,60.159,viaduct,,
Nó do Freixo,motorway_link,50,41.15013355872608,-8.579824087634607,307.46200000000005,,,
Via de Cintura Interna,motorway,80,41.15045003305511,-8.579192561480728,239.09,viaduct,,
Via de Cintura Interna,motorway,80,41.14907179334297,-8.578998737588233,172.699,viaduct,,
Via de Cintura Interna,motorway,80,41.146370831257876,-8.581009999757509,211.18899999999996,yes,,
Rua da Conceição,residential,,41.149952,-8.61417215,21.411,,,
Rua de José Falcão,residential,,41.149928349999996,-8.61405065,6.564,,,
Rua do General Silveira,residential,,41.150022250000006,-8.61479955,21.815,,,
Rua do Alferes Malheiro,residential,,41.1526461,-8.6114481,122.814,,,
Rua do Almada,residential,50,41.15163135,-8.612058300000001,303.116,,,
Rua do Almada,residential,50,41.1532955,-8.6120067,67.076,,,
Rua de Gonçalo Cristóvão,secondary,,41.153590641279685,-8.611723215145485,45.67,,,
Rua Elísio de Melo,secondary,,41.14798945,-8.61222295,13.609,,,
Rua do Almada,residential,50,41.14793645,-8.6121597,3.348,,,
Rua do Almada,residential,50,41.148077637506574,-8.61215556710744,28.06,,,
,service,,41.1480553516114,-8.61264961752625,85.425,,,
Rua Elísio de Melo,secondary,,41.14789593046558,-8.611383124265414,16.423000000000002,,,
Avenida dos Aliados,"['secondary_link', 'secondary']",50,41.14774860949294,-8.611272748359083,31.859,,,
Rua Elísio de Melo,secondary,,41.14785465,-8.6110276,14.55,,,
Avenida dos Aliados,secondary,50,41.14780895,-8.6109475,7.536,,,
Avenida dos Aliados,secondary,50,41.14843418107687,-8.610762916158649,134.442,,,
Rua de Ramalho Ortigão,residential,,41.14905215811624,-8.611761169921447,84.481,,,
Rua do Doutor Artur de Magalhães Basto,pedestrian,,41.147169348399935,-8.612172450814283,2.759,,,
Rua da Fábrica,residential,,41.14736402233603,-8.61277638854217,107.291,,,
Rua do Almada,residential,50,41.146620403086615,-8.612196781652326,123.602,,,
Rua de Avis,residential,,41.147774149003624,-8.61325625370718,53.903,,,
Largo dos Lóios,residential,,41.14580190866281,-8.612237160907327,42.063,,,
Rua do Almada,residential,50,41.14602763041492,-8.61222385407194,8.538,,,
Rua de Cedofeita,pedestrian,,41.1498737,-8.6167316,74.651,,,
Rua de Miguel Bombarda,pedestrian,,41.150125789411774,-8.617328357901389,75.359,,,
Rua de Miguel Bombarda,residential,,41.15001055,-8.6181658,67.244,,,
Rua de Miguel Bombarda,pedestrian,,41.150125789411774,-8.617328357901389,75.359,,,
Rua do Breiner,residential,,41.1514643,-8.618105,86.998,,,
Rua de Cedofeita,pedestrian,,41.151135515188614,-8.6173761759179,108.206,,,
Rua do Rosário,tertiary,,41.151193978849996,-8.621189604725938,108.856,,,
Rua do Breiner,residential,,41.1504655431742,-8.622077254225754,172.488,,,
Rua da Boa Hora,tertiary,,41.152137218945825,-8.620991566899807,113.20699999999998,,,
Rua da Maternidade,residential,,41.151175331513755,-8.622208518807097,192.009,,,
Rua Adolfo Casais Monteiro,residential,,41.1497933,-8.622989950000001,95.325,,,
Largo da Maternidade de Júlio Dinis,residential,,41.150132599134686,-8.623481472442325,74.55,,,
