name,type,address,latitude,longitude,freguesia,opening_hours
Carli Borrachas e Plásticos,Borrachas_e_Plasticos,Rua do Almada ,41.1506366,-8.6121835,,
Casa Hortícola,agrarian, ,41.1488539,-8.6076709,,
Cafe hotel linha 22,alcohol,Rua dos Clérigos 23,41.1458676,-8.6127872,,
Vinoteca,alcohol, ,41.14232944859382,-8.61407282133161,,
Agarrafeira Wine House,alcohol, ,41.1499063,-8.6138334,,
Casta D'Ouro,alcohol, ,41.1495008,-8.6072228,,
Gota a Gota,alcohol, ,41.1547845,-8.6188427,,
Vinoteca - Wine Cellar & Wine Bar,alcohol,Rua de Mouzinho da Silveira 88;90,41.1422965,-8.6142116,,
Cabaz do Infante,alcohol, ,41.1425879,-8.6139689,,
Essência do Vinho,alcohol, ,41.1418779,-8.6141083,,
"Grainha: Bolhão, de Rosa Gonçalves",alcohol, ,41.1493722,-8.6068892,,
Garrafeira do Porto,alcohol, ,41.1468734,-8.6037443,,
,alcohol, ,41.1445181,-8.6124073,,
The Wine Box,alcohol,Rua dos Mercadores 72,41.1416468,-8.6130472,,Mo-Su 10:00-00:00
Taberna do Largo,alcohol, ,41.1433846,-8.6147166,,
Bolhão Wine House - Hugo Silva,alcohol, ,41.1494004,-8.6068747,,
Garrafeira Tio Pepe,alcohol,Rua Engenheiro Ferreira Dias 51,41.1742117,-8.6482412,,
Ginginha do Porto,alcohol, ,41.1448751,-8.6076686,,
Cantinho da Dona Rosa,alcohol, ,41.1494671,-8.6072377,,
Champagne Perrier-Jouét,alcohol, ,41.149813,-8.6131022,,
Bottega Verde,alcohol, ,41.1452206398638,-8.612368921611846,,
Sociedade Quinta Ventozelo,alcohol, ,41.14261105917532,-8.615919625052602,,
Fungaga da Bicharada - Spa & Daycare,animal_boarding,,41.1714044,-8.6586944,,"Mo,We 09:00-19:00; Tu,Th,Fr 09:00-13:00,14:30-19:00; Sa 10:00-13:00,14:30-16:30; Su off"
Fungaga da Bicharada - Spa & Daycare,animal_boarding,nan nan,41.1714044,-8.6586944,Porto,"Mo,We 09:00-19:00; Tu,Th,Fr 09:00-13:00,14:30-19:00; Sa 10:00-13:00,14:30-16:30; Su off"
Centro de Recolha Oficial de Animais,animal_shelter,463 Travessa das Águas Férreas de Campanhã,41.154366289488216,-8.557958107361035,Porto,
,animal_shelter,,41.15446704640797,-8.55784376150959,,
Centro de Recolha Oficial de Animais,animal_shelter,Travessa das Águas Férreas de Campanhã,41.154366289488216,-8.557958107361035,,
,animal_shelter,nan nan,41.15446704640797,-8.55784376150959,Porto,
Livraria Mundo Fantasma,anime,Avenida da Boavista 267,41.1567555,-8.6289227,,Mo-Sa 10:00-20:00; Su off; PH 15:00-19:00
Galerias Vandoma,antiques, ,41.1432628,-8.6130888,,
Antiqualha,antiques, ,41.1528582,-8.6181335,,
Velharias e Curiosidades,antiques, ,41.1521457,-8.6138546,,
Almada 437,antiques,Rua do Almada 437,41.1509103,-8.6121864,,
Cash&Go,antiques, ,41.1523711,-8.6121407,,
Louro's velharias,antiques, ,41.1524092,-8.6138002,,
Pedro Rezende,antiques, ,41.1526527,-8.6137499,,
Chapelaria Aliança,antiques, ,41.1525511,-8.6137709,,
Dois Dedos de Conversa,antiques, ,41.1521213,-8.6136614,,
Antike,antiques, 56,41.1504935,-8.6143982,,
Restaumovi,antiques, ,41.1506677,-8.6148369,,
Jorge Cardoso Caravancerai,antiques,Rua do Almada 449,41.1510552,-8.6121721,,
Casanova,antiques, ,41.1507194,-8.6148373,,
O Baú dos 60,antiques, ,41.1524098,-8.613599,,
,antiques, ,41.1455291,-8.6147083,,
O Sótão da Tia Becas,antiques,Travessa de São Carlos 22,41.1515454,-8.6142863,,Mo-Fr 14:30-19:00
Angelo Neto,antiques, ,41.152729,-8.6227943,,
D. Pedro,antiques, ,41.152882,-8.622583,,
Passadopresente,antiques, ,41.1553984,-8.61935,,
Fátima Resende Antiguidades,antiques, ,41.1529495,-8.6224418,,
D Antiguidades,antiques, ,41.1527938,-8.6215645,,
José Coelho,antiques, ,41.1494444,-8.6218551,,
Maria do Rosário,antiques, ,41.1524117,-8.6187513,,
Galerias de Arte,antiques, ,41.1525829,-8.6212143,,
Gonçalo Ferreira Marques,antiques, ,41.1527809,-8.6213303,,
Vício do Café,apartments,nan nan,41.147212477273975,-8.607255327936427,Porto,
Edificio E,apartments,82 Rua Professor Antão de Almeida Garrett,41.172248393918686,-8.63513148718831,Ramalde,
Edificio F,apartments,82 Rua Professor Antão de Almeida Garrett,41.17259153971641,-8.635691949563046,Ramalde,
Bloco 32,apartments,nan nan,41.161804087045866,-8.567177410978843,Porto,
Edificio H,apartments,82 Rua Doutor Paulo Pombo,41.17238641663312,-8.634556483781214,Ramalde,
Edificio I,apartments,22 Rua Doutor Paulo Pombo,41.17203822726345,-8.63399464645298,Ramalde,
Edificio C,apartments,nan Rua do Doutor Cruz Malpique,41.173622602606734,-8.634346736533404,Ramalde,
Edificio A,apartments,nan Rua Marta Sampaio,41.17264541099506,-8.633850534213238,Ramalde,
Edificio B,apartments,nan Rua de Maria Lamas,41.17313001099508,-8.63410803421324,Ramalde,
Livraria Livro Ler,apartments,nan nan,41.1494452035206,-8.616297674887644,Porto,
Edifício Douro,apartments,34 Rua de Eugénio de Castro,41.16451815260717,-8.646195776172766,Ramalde,
Edificio D,apartments,82 Rua Professor Antão de Almeida Garrett,41.171917335913626,-8.63456832524463,Ramalde,
Bloco 25,apartments,nan nan,41.16118341560399,-8.569146823602882,Porto,
Super-Rápido Formosa,apartments,"80,84 Rua Formosa",41.14745385908949,-8.602795246458415,Porto,
The Editory Boulevard Hotel,apartments,141 - 147 Avenida dos Aliados,41.14830395890292,-8.611591365220859,Porto,
Minipreço,apartments,347 Rua de Sá da Bandeira,41.149354007366135,-8.607764205338764,Porto,"Mo-Sa 08:30-20:30; Su 09:00-13:00, 15:00-19:00"
Christina,apartments,nan nan,41.14973763032581,-8.60759967825537,Porto,
Bloco 31,apartments,nan nan,41.16181746468358,-8.567595187983423,Porto,
Bloco 27,apartments,nan nan,41.161734800000005,-8.568117500000001,Porto,
DomusVi Júlio Dinis,apartments,595 Rua de Júlio Dinis,41.1541180344577,-8.626907006197392,Porto,Mo-Su 10:00-21:00
Ferreira Alves,apartments,417 Rua de Sá da Bandeira,41.14988698491655,-8.607532498313567,Porto,
Pingo Doce,apartments,385 Rua de Sá da Bandeira,41.14965586097346,-8.607654523955503,Porto,Mo-Sa 8:30-20:30; Su 9:00-20:00
Bloco 29,apartments,nan nan,41.161285024671606,-8.56837535172057,Porto,
Bloco A,apartments,nan nan,41.162440100000005,-8.566970399999999,Porto,
Tamegão,apartments,nan nan,41.14891637364965,-8.607934138277555,Porto,
Bloco 26,apartments,nan nan,41.16146647473954,-8.568714003252719,Porto,
,apartments,nan nan,41.16472075,-8.580432850000001,Porto,
,apartments,"627,629 Rua João de Deus",41.163510684841306,-8.640257306096554,Ramalde,
Hotel Nave,apartments,247 Avenida de Fernão de Magalhães,41.15227376292104,-8.597334714227685,Porto,
Porto Park Centrum,apartments,462 Avenida de Fernão de Magalhães,41.15405834932199,-8.595671892211923,Porto,
Me Allegro,apartments,nan nan,41.150058267851065,-8.616993242177703,Porto,
Plácido,apartments,331 Rua de Sá da Bandeira,41.14903304427798,-8.607872616937426,Porto,
