Type,Location,Neighborhood,Residential,Shop,Work,Latitude,Longitude
post_office,Rua da Constituição,"Porto, Portugal",,,,41.1616838,-8.6036937
post_office,,"Porto, Portugal",,,,41.1617461,-8.5984026
bank,,"Porto, Portugal",,,,41.1624527,-8.598209
restaurant,,"Porto, Portugal",,,,41.1607731,-8.5922552
restaurant,,"Porto, Portugal",,,,41.160823,-8.5917705
restaurant,,"Porto, Portugal",,,,41.1590503,-8.5975147
restaurant,,"Porto, Portugal",,,,41.166263,-8.5932339
restaurant,Rua de Costa Cabral,"Porto, Portugal",,,,41.1656169,-8.5982894
bank,,"Porto, Portugal",,,,41.1728573,-8.6127532
pharmacy,,"Porto, Portugal",,,,41.1742172,-8.5821356
cafe,Rua de Costa Cabral,"Porto, Portugal",,,,41.1749994,-8.5860532
pharmacy,Rua Serpa Pinto,"Porto, Portugal",,,,41.1606206,-8.6210246
pharmacy,,"Porto, Portugal",,,,41.1555613,-8.6681147
restaurant,,"Porto, Portugal",,,,41.1514604,-8.6765313
post_office,,"Porto, Portugal",,,,41.171145,-8.5882439
pharmacy,,"Porto, Portugal",,,,41.1720903,-8.5876506
pharmacy,Rua de Costa Cabral,"Porto, Portugal",,,,41.1687099,-8.5907066
restaurant,,"Porto, Portugal",,,,41.1668988,-8.5942605
pharmacy,Rua do Amial,"Porto, Portugal",,,,41.1838825,-8.6135012
cafe,,"Porto, Portugal",,,,41.153331,-8.6023719
pharmacy,Rua Antero de Quental,"Porto, Portugal",,,,41.1627813,-8.6110322
pharmacy,Praça da Batalha,"Porto, Portugal",,,,41.1447786,-8.6065682
pharmacy,Avenida dos Combatentes da Grande Guerra,"Porto, Portugal",,,,41.165371,-8.5988215
pharmacy,Rua de Costa Cabral,"Porto, Portugal",,,,41.1639303,-8.6013361
pharmacy,Rua de Costa Cabral,"Porto, Portugal",,,,41.1640646,-8.601383
pharmacy,Rua de Costa Cabral,"Porto, Portugal",,,,41.1659656,-8.5975488
pharmacy,Rua de Costa Cabral,"Porto, Portugal",,,,41.1622917,-8.6036776
pharmacy,Praça Marquês de Pombal,"Porto, Portugal",,,,41.1613002,-8.6038802
post_office,,"Porto, Portugal",,,,41.1590407,-8.5792089
pharmacy,,"Porto, Portugal",,,,41.159248,-8.5803238
pharmacy,Avenida Fernão de Magalhães,"Porto, Portugal",,,,41.1558535,-8.594775
pharmacy,Rua do Campo Lindo,"Porto, Portugal",,,,41.169278,-8.6088261
pharmacy,Rua de Santos Pousada,"Porto, Portugal",,,,41.1494042,-8.6005555
pharmacy,Rua de São Dinis,"Porto, Portugal",,,,41.1674205,-8.6180315
pharmacy,Praça do Exército Libertador,"Porto, Portugal",,,,41.1661999,-8.624914
pharmacy,,"Porto, Portugal",,,,41.1637825,-8.6296992
pharmacy,Praça do Exército Libertador,"Porto, Portugal",,,,41.1668743,-8.6250454
pharmacy,Rua de Alves Redol,"Porto, Portugal",,,,41.1615666,-8.6159409
police,Praça Infante Dom Henrique,"Porto, Portugal",,,,41.1417147,-8.6147148
pharmacy,Rua de João Pedro Ribeiro,"Porto, Portugal",,,,41.1610881,-8.6082907
pharmacy,Rua do Amial,"Porto, Portugal",,,,41.1749815,-8.6137531
pharmacy,,"Porto, Portugal",,,,41.1593481,-8.6356837
