name,address,latitude,longitude
,,41.1492091,-8.6214401
,,41.149191,-8.6213301
,,41.1491122,-8.6214776
,,41.1491496,-8.6215648
,,41.1491486,-8.6214334
,,41.1491465,-8.6213596
,,41.1491769,-8.6212537
,,41.1490839,-8.6212389
,,41.1491537,-8.6214776
,,41.1491486,-8.6213033
,,41.1491839,-8.6211853
,,41.1492455,-8.6212657
,,41.1491788,-8.6213985
,,41.1492273,-8.6213073
,,41.1492395,-8.6211826
,,41.149191,-8.6215527
,,41.1492163,-8.6212416
,,41.1492273,-8.6213744
,,41.1491031,-8.6215729
,,41.1491627,-8.6216037
,,41.1490627,-8.6215514
Fitness Hut,Rua Herois e Martires de Angola,41.1513969,-8.6109289
IEFP - Delegação Norte,Rua do Engenheiro Ezequiel de Campos,41.1741518,-8.6536236
,,41.1662554,-8.5681008
,,41.1447795,-8.6090199
Feira de Produtos Biológicos,,41.1704188,-8.672223
Garagem Gomes da Costa,,41.1613427,-8.6591081
DA The Studio,Rua de Tânger,41.1614728,-8.6593266
Café Amarantino,,41.1472138,-8.5872845
Pomar da Faria Guimarães,,41.16003,-8.6077524
,,41.1769169,-8.6437498
Centro de Estudos de Arquitetura e Urbanismo,Via Panorâmica,41.1499956,-8.6349481
,,41.1710566,-8.6584306
Capela da Senhora da Lapa,,41.1458582,-8.613868
,,41.1503371,-8.6093904
Livraria Académica,,41.1501319,-8.6146561
,,41.1768675,-8.6547863
,,41.1551341,-8.6675544
,,41.1488791,-8.6559468
,,41.1472505,-8.6576553
,,41.1490408,-8.614358
,,41.1483536,-8.612087
,,41.1489602,-8.6117201
,,41.1500857,-8.6126271
,,41.1515417,-8.6144132
,,41.1524734,-8.6173486
Segurança Social: Serviços de Atendimento do Porto,Rua do Rosário,41.149471,-8.6210491
,,41.1525603,-8.6209522
,,41.1496349,-8.6205059
,,41.1502478,-8.6256362
,,41.1513807,-8.6256089
,,41.1510224,-8.628304
,,41.1536447,-8.6266788
,,41.1518989,-8.6104137
,,41.1526274,-8.6115386
,,41.1504834,-8.6114328
,,41.1844792,-8.6050787
,,41.1487157,-8.6039297
,,41.1554664,-8.5915092
,,41.1566499,-8.6020975
,,41.1689297,-8.649476
Igreja de Santo António das Antas,,41.16428831953426,-8.589943016552752
